<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240701;100000;11.769;11.779;11.676;11.7;27513
240701;100100;11.7;11.718;11.671;11.707;22903
240701;100200;11.706;11.708;11.683;11.684;7398
240701;100300;11.69;11.701;11.688;11.7;7873
240701;100400;11.698;11.723;11.69;11.719;16523
240701;100500;11.713;11.732;11.711;11.726;3929
240701;100600;11.728;11.732;11.719;11.728;3931
240701;100700;11.728;11.753;11.728;11.753;7625
240701;100800;11.753;11.756;11.733;11.737;10959
240701;100900;11.736;11.742;11.728;11.738;5157
240701;101000;11.738;11.752;11.734;11.746;2871
240701;101100;11.743;11.746;11.733;11.734;1184
240701;101200;11.737;11.743;11.735;11.736;2214
240701;101300;11.736;11.743;11.733;11.737;1011
240701;101400;11.743;11.779;11.739;11.779;5683
240701;101500;11.78;11.799;11.78;11.799;9115
240701;101600;11.799;11.81;11.795;11.803;6814
240701;101700;11.808;11.818;11.8;11.814;2901
240701;101800;11.813;11.817;11.792;11.807;5778
240701;101900;11.8;11.802;11.784;11.785;2907
240701;102000;11.785;11.808;11.783;11.798;5478
240701;102100;11.795;11.801;11.747;11.75;9951
240701;102200;11.747;11.761;11.732;11.756;9773
240701;102300;11.757;11.77;11.748;11.763;8908
240701;102400;11.763;11.8;11.763;11.796;6127
240701;102500;11.796;11.797;11.768;11.791;5060
240701;102600;11.785;11.792;11.76;11.761;2255
240701;102700;11.761;11.768;11.755;11.762;3775
240701;102800;11.765;11.769;11.763;11.768;2349
240701;102900;11.767;11.799;11.765;11.79;4904
240701;103000;11.786;11.799;11.777;11.784;5967
240701;103100;11.789;11.795;11.788;11.792;567
240701;103200;11.79;11.791;11.778;11.781;1284
240701;103300;11.784;11.784;11.763;11.764;8228
240701;103400;11.763;11.779;11.759;11.769;3571
240701;103500;11.769;11.77;11.765;11.769;1167
240701;103600;11.769;11.779;11.767;11.775;2816
240701;103700;11.775;11.775;11.766;11.77;1619
240701;103800;11.766;11.773;11.753;11.773;6970
240701;103900;11.773;11.777;11.771;11.775;1174
240701;104000;11.773;11.776;11.769;11.77;2049
240701;104100;11.769;11.771;11.765;11.765;306
240701;104200;11.765;11.771;11.765;11.765;767
240701;104300;11.765;11.767;11.758;11.761;2787
240701;104400;11.761;11.761;11.757;11.758;1641
240701;104500;11.759;11.76;11.758;11.758;933
240701;104600;11.759;11.761;11.756;11.757;1179
240701;104700;11.757;11.76;11.757;11.76;406
240701;104800;11.759;11.76;11.754;11.754;594
240701;104900;11.757;11.76;11.754;11.76;1670
240701;105000;11.76;11.764;11.754;11.763;1542
240701;105100;11.763;11.764;11.761;11.764;249
240701;105200;11.763;11.765;11.755;11.758;2768
240701;105300;11.758;11.765;11.758;11.764;1021
240701;105400;11.764;11.765;11.762;11.763;1097
240701;105500;11.764;11.764;11.764;11.764;1053
240701;105600;11.764;11.764;11.762;11.764;251
240701;105700;11.762;11.766;11.762;11.763;3767
240701;105800;11.762;11.766;11.761;11.764;582
240701;105900;11.764;11.772;11.762;11.762;2086
240701;110000;11.762;11.766;11.76;11.76;1217
240701;110100;11.76;11.76;11.742;11.746;2949
240701;110200;11.748;11.748;11.721;11.727;8308
240701;110300;11.727;11.737;11.726;11.735;3448
240701;110400;11.737;11.737;11.725;11.725;3762
240701;110500;11.723;11.723;11.704;11.72;4785
240701;110600;11.72;11.735;11.717;11.725;1864
240701;110700;11.726;11.737;11.726;11.732;1270
240701;110800;11.733;11.738;11.731;11.738;387
240701;110900;11.738;11.738;11.73;11.734;922
240701;111000;11.732;11.736;11.73;11.73;521
240701;111100;11.728;11.73;11.726;11.726;888
240701;111200;11.727;11.727;11.72;11.722;193
240701;111300;11.726;11.727;11.718;11.718;2581
240701;111400;11.72;11.722;11.718;11.718;415
240701;111500;11.718;11.718;11.714;11.718;483
240701;111600;11.72;11.727;11.718;11.725;1763
240701;111700;11.725;11.727;11.722;11.723;695
240701;111800;11.723;11.724;11.711;11.715;1084
240701;111900;11.714;11.717;11.712;11.717;1687
240701;112000;11.717;11.723;11.715;11.723;1047
240701;112100;11.723;11.724;11.72;11.722;911
240701;112200;11.722;11.724;11.719;11.721;2898
240701;112300;11.721;11.724;11.718;11.72;2819
